clientId,country,product_id
25640,MG,30419
25640,MG,30419
21982,GO,734
77210,SP,21392
87281,PB,25133
26437,RS,23418
49408,RJ,11171
2504,RJ,6862
43528,SP,30499
43528,SP,30499
66832,SP,16746
43524,RJ,12673
58879,BA,7713
42176,SP,14351
91872,RJ,23342
6313,SP,21131
27223,SP,2380
27223,SP,2380
17852,RJ,5849
64590,MG,10150
92527,RJ,8503
56991,SP,13848
56387,SP,26593
56387,SP,26593
91518,GO,7646
61429,SP,4071
31740,MA,25492
20916,MG,31620
32464,RJ,19483
54423,RS,29394
62366,SC,215
62366,SC,215
54608,PE,27667
35782,SP,25787
9746,SP,4967
74080,MG,6580
23244,RJ,18369
63880,PB,30674
1785,SP,14278
66146,SP,5489
78315,CE,12694
89736,DF,15538
9148,MS,22985
78639,MS,29090
28609,RS,13218
26981,SP,2481
3536,SP,4148
43861,SP,8512
12037,PR,16473
76510,RS,11669
76667,SP,21856
927,SP,30769
8261,SP,11680
54868,SC,29319
54868,SC,29319
54173,MG,10537
31318,RJ,29255
80239,BA,12618
70516,CE,12404
21052,GO,30380
94511,CE,17465
94301,SP,20020
40834,GO,2677
40834,GO,2677
40834,GO,2677
41951,PE,29494
65134,PR,21864
45445,RS,1137
63220,BA,8471
76421,SP,15045
93996,MG,30328
93305,RS,16586
93305,RS,16586
18618,RS,399
54243,RJ,22554
33445,SP,24895
33445,SP,24895
75830,RJ,1792
94287,PR,28856
73494,SP,26293
79863,SP,8646
73276,RJ,16627
73209,RS,28894
25172,GO,8355
19317,SP,14897
62983,SP,20640
62983,SP,20640
48532,MG,13429
27937,RN,17759
9966,SP,8045
9966,SP,8045
18923,SC,6862
45135,PR,7384
44307,PR,22028
9,MA,10024
62480,MG,2265
76993,MG,28326
14378,GO,31092
74002,MG,20260
5760,SP,30846
50825,SP,15157
40032,SP,16250
26753,SP,30201
33086,RJ,23152
13655,RJ,30272
28732,RJ,31252
52182,SP,26821
52182,SP,26821
52182,SP,26821
76848,SP,4904
76848,SP,4904
17130,SP,25572
27523,RJ,26971
21833,SP,9004
28550,RJ,19658
94177,SP,5210
50906,RS,25005
50906,RS,25005
92060,MG,31582
74879,RJ,21522
8449,SP,19099
8449,SP,19099
94039,MA,7139
8457,BA,3591
73302,SP,2255
26343,RS,8308
55546,MT,17329
1257,SP,21879
12028,BA,2078
68651,RS,6793
74522,SP,16298
74686,SC,26285
33259,BA,9351
81359,PR,29059
17389,SP,12452
27018,SP,8346
35494,SP,14464
9682,PR,29609
78132,RJ,15722
5667,SP,11530
88076,RJ,29815
9169,SP,17692
9169,SP,17692
81434,AL,5570
75055,SP,28805
80364,SP,23286
75146,BA,23524
75146,BA,23524
2998,SP,8243
2998,SP,8243
8655,DF,5715
9597,RJ,24233
1405,SP,25723
76142,PR,11034
67637,BA,28239
19567,RJ,4935
